FID,osmid,s,e,seg_length
369,527458577,5777113892,5777113868,12.85770421
370,546559526,5281832025,5281831716,59.24073833
371,4950246,5651202416,1600183702,54.78572109
372,596103330,5679622677,5679622671,4.796939504
373,602621666,5651202418,973783156,4.221646845
374,1051113796,9622483757,5257661210,32.53976372
375,1047611936,9633162900,8727191609,16.95159419
376,"[1050878213, 1050878214, 1050878217, 1050878218, 1050878219, 1050878220, 1050878221, 1050878222, 1050878223, 1050878224, 1049322993, 1050878226, 1050878227, 1050878228, 1050878225]",9633070913,5888716828,97.69838673
377,"[1051685376, 1050759473]",9703556813,9655843237,22.93537268
378,10418288,5257661211,5257661206,2.83187831
379,15801861,158680280,9706184446,4.970131624
380,91095292,1236630741,1027200904,23.3439508
381,331553023,1032369508,1032369071,20.88382868
382,"[841683064, 841683065, 841683063]",7852847344,7852847340,72.78557169
383,"[389870308, 389870270]",3930317771,356299463,9.439223417
384,1056324207,9633121648,4917184367,1.267165942
385,295864510,5281831684,2938530110,37.90155954
386,332455395,1600187449,34519478,88.51910189
387,1047303580,9630395086,8725681874,39.66967928
388,4730416,3779191473,635164798,8.935960212
389,968872142,140401344,598569835,7.587932494
390,10594635,5281831700,5281831688,61.96647303
391,"[623564040, 623564041, 288152480, 146779951]",5888716848,1600187449,64.04196331
392,374522039,3779249075,390486262,12.23929637
393,25983495,283458334,9703610018,8.915535766
394,435423646,4333462067,4333462066,13.93648091
395,1051231398,9660357612,5888717629,35.89341735
396,50003696,34506018,1076506752,4.355607276
397,"[43583651, 424299694]",4237421792,550408747,19.64577516
398,"[1051688954, 1051688955, 1051688956, 1051688957, 1051688958, 1051688959]",9664605482,5679622663,36.29699459
399,50003691,9660408708,635120963,21.80506959
400,25958900,3474613799,3474613795,7.138817512
401,"[1056324132, 1056324133]",9706185921,9627662992,15.36296227
402,364500938,3685416473,3685416472,8.333254424
403,1051236999,9660408708,635120964,34.20496098
404,942348917,8726177801,7507148472,140.8756682
405,"[445236315, 445236316, 445236317]",4426895704,356299521,59.82849041
406,50003704,9632898847,1600183703,6.511732491
407,419045293,5651202415,148880569,5.457743742
408,"[424299688, 424299691, 424299699]",4237458790,4237356994,36.09806238
409,1051114936,9703556810,9656038646,29.32645897
410,332455382,1552956971,1552956967,79.73942533
411,148349697,550406312,154609867,21.46891436
412,"[1051684740, 1046356348, 1051684741]",9622496952,3998228448,8.497436741
413,371344296,1552985952,356297421,46.07322244
414,1051692828,9622409691,3251966770,6.451536097
415,1046352526,9706102313,9627708722,65.21908737
416,192121154,29271901,29271899,44.18736161
417,15677258,156377017,156377016,14.48921466
418,"[623570418, 623574797, 608078758]",5888768421,5281831707,36.910591
419,131497981,1447128487,1032369032,12.4873628
420,1046340525,9706184461,9622402152,5.212352694
421,525958045,211184998,9706186128,35.12781895
422,1056048516,9703605474,5265071547,4.741203722
423,33694459,3948139779,9622508755,52.92801211
424,1049569464,9645470433,9645388310,1.140992929
425,25983502,9705704509,1552956933,6.372394629
426,332455377,5281831645,2938530156,41.46340744
427,"[1051111161, 1051111155, 1051111157, 1047602495]",9643206993,9633096102,29.59525273
428,"[30924944, 30924943]",1032369404,343771871,29.77795952
429,"[1049712152, 289011662]",9688270184,1037402756,28.26462587
430,1047613003,9633162900,9633153751,15.52739511
431,1047304847,9630404965,9630404959,74.89946772
432,129783192,1041912615,300836808,49.43087486
433,596103331,5679622679,5679622677,61.31876264
434,131498753,1447134948,1032369497,12.91656792
435,1054241007,6635191158,6635191157,13.15916377
436,"[1051685080, 1049336669]",9634209365,81071000,69.58218068
