FID,osmid,s,e,seg_length
353,888695617,8262308975,8262308881,18.51064942
354,1021536496,9421649577,9421649576,0.135693777
355,934479973,8660596976,8660596970,7.732145431
356,22936288,247073284,246650524,11.27121857
357,5672142,8261122928,5481852077,13.31287793
358,545506563,5272220963,5272220958,32.27796615
359,"[945305233, 945305234]",8751484600,6237327826,23.91012515
360,441167005,4906174403,4389441146,4.397163693
361,196116976,42428321,3463816116,10.44882868
362,1027228244,3569749097,42445667,8.079774001
363,1020674674,9413881888,9413881740,15.76679727
364,496983398,3857334400,42430308,11.97920714
365,702543830,6597498412,6597498410,2.662545782
366,888552437,8261122525,6382118323,12.08178601
367,"[1021258208, 1021258207]",9419131167,9419131166,16.59355881
368,420904658,8133342857,42445365,9.518114979
369,949022086,8785244287,8785244283,29.07319136
370,934479951,8660596994,8660596955,13.33435196
371,456409017,6746980153,42440465,7.871689371
372,891758005,8288270368,7903850297,7.578893367
373,476392463,7640856868,4259278555,13.68363495
374,934479968,8660596991,8288270354,249.313053
375,570148919,5481850672,5481850671,32.88039972
376,1035187250,9535571872,9535571871,17.05832857
377,760075312,9509176057,9509152010,68.46808882
378,972925516,6598535197,3974095831,6.306140831
379,226040999,9076023712,42445656,116.6019265
380,542255948,5175213278,6878240311,37.9299671
381,5669226,9143220942,9421657722,21.56401686
382,5669218,427850819,427850840,176.4393911
383,"[1021536490, 1021536499]",9421649581,9421649556,8.709045884
384,"[388760886, 388760887]",7534031007,420591229,40.47809327
385,619469817,5481863551,5481863550,18.4581475
386,36836400,427850889,427850966,40.7004801
387,525768550,4597668029,4597668041,39.95275768
388,44165030,561042197,3786901751,25.19677169
389,526852032,8262308901,5122551880,6.712245195
390,1031836890,9509152010,3997454660,14.37222731
391,495520692,3914863413,3914863409,9.299369085
392,121257600,1357949868,1357949740,22.0415423
393,833865903,4379966376,247071718,14.28295306
394,226041027,3974095828,42439984,12.28655939
395,889906403,8272069435,8272069434,16.82355302
396,5670719,8261123017,2823833578,202.8476157
397,884400297,42436714,42455963,80.97253781
398,"[1030119891, 226092573]",6188803954,7946231857,28.12768122
399,889699095,8271079649,8271079647,19.75108585
400,497258108,42430384,42430390,45.96062121
401,495507865,9423683520,8261122122,17.83607328
402,823665363,7690154521,7690154508,15.18918535
403,904126542,8396878499,8396878498,7.255145194
404,458180185,7788529741,42445928,71.47543061
405,540356239,4234425008,8133342855,130.5470686
406,46492017,427841011,593988920,155.2656077
407,954583428,8835579632,8835579631,8.992219149
408,415849235,6223969262,42443680,192.4249754
409,1000529768,9235539555,9235539550,9.714952319
410,891757992,8288270402,8288270397,13.46783886
411,22941384,7784129808,4870298750,43.48518241
412,388275223,3914863412,1701921019,8.377987515
413,818129162,5721338583,3875091645,112.008431
414,226041025,6598535224,1752946328,129.6489541
415,607762997,8272069263,5759126970,24.52036381
416,226040998,4234425032,42445413,12.74985777
417,884400291,8224618714,6747000428,12.04395793
418,1051841852,8133342853,42436751,71.1565321
419,495507865,9423683548,8261122844,36.73481157
420,495520687,3914863412,3914863406,55.0107735
421,"[888695652, 1020674661, 1021258206, 1020674663]",8262309034,8262309024,13.77322762
422,375165664,42432856,8133385388,20.77297752
423,706083626,6634486400,6634486396,32.03850941
424,420901690,42442935,3833109159,17.5966922
425,891757978,8288270352,8288270351,62.99381438
426,"[834785577, 834785570, 818129175]",7640871333,7640856880,15.82465021
427,607762994,1209764948,1209764740,34.53327498
428,46226331,246650510,42437699,21.08616429
429,"[169267536, 619280601]",595105496,595105592,67.57165838
430,658583340,6746980151,42440463,202.5222853
431,378363612,7824099646,3817760666,28.63240949
432,954209240,8831630300,7248638337,12.67436771
433,"[459890407, 459890406, 459887831]",4556126017,4556126016,78.38805154
434,453367786,42442931,7640871320,14.04943989
435,888552403,8261122726,8261122383,6.635713385
436,818129159,7640871323,7640856869,14.08138961
437,"[988515374, 420901919]",8288270360,8288270452,61.21701161
438,"[473560368, 473560297]",4676427278,4676427187,14.04899259
439,169267539,247119857,62915514,11.96463201
440,872052111,3786901751,3786901750,4.460712432
441,464683344,8119462516,4597668044,7.105005679
442,1000529768,3974095818,3974095817,22.1883174
443,194920158,42435684,8704367788,75.30724409
444,382529693,3857366818,3857343079,12.03167094
445,460585329,5165666209,8261122524,119.5037402
446,195743211,8307463092,42450434,261.4052632
447,"[421852036, 421852037]",2348991703,42446386,103.6586549
